ts,angle_0,angle_1
1.228,180.0,180.0
1.23,180.0,180.0
1.232,180.0,180.0
1.234,180.0,180.0
1.236,180.0,180.0
1.238,180.0,180.0
1.24,180.0,180.0
1.242,180.0,180.0
1.244,180.0,180.0
1.246,180.0,180.0
1.248,180.0,180.0
1.25,180.0,180.0
1.252,180.0,180.0
1.254,180.0,180.0
1.256,180.0,180.0
1.258,180.0,180.0
1.26,180.0,180.0
1.262,180.0,180.0
1.264,180.0,180.0
1.266,180.0,180.0
1.268,180.0,180.0
1.27,180.0,180.0
1.272,180.0,180.0
1.274,180.0,180.0
1.276,180.0,180.0
1.278,180.0,180.0
1.28,180.0,180.0
1.282,180.0,180.0
1.284,180.0,180.0
1.286,180.0,180.0
1.288,180.0,180.0
1.29,180.0,180.0
1.292,180.0,180.0
1.294,180.0,180.0
1.296,180.0,180.0
1.298,180.0,180.0
1.3,180.0,180.0
1.302,180.0,180.0
1.304,180.0,180.0
1.306,180.0,180.0
1.308,180.0,180.0
1.31,180.0,180.0
1.312,180.0,180.0
1.314,180.0,180.0
1.316,180.0,180.0
1.318,180.0,180.0
1.32,180.0,180.0
1.322,180.0,180.0
1.324,180.0,180.0
1.326,180.0,180.0
1.328,180.0,180.0
1.33,180.0,180.0
1.332,180.0,180.0
1.334,180.0,180.0
1.336,180.0,180.0
1.338,180.0,180.0
1.34,180.0,180.0
1.342,180.0,180.0
1.344,180.0,180.0
1.346,180.0,180.0
1.348,180.0,180.0
1.35,180.0,180.0
1.352,180.0,180.0
1.354,180.0,180.0
1.356,180.0,180.0
1.358,180.0,180.0
1.36,180.0,180.0
1.362,180.0,180.0
1.364,180.0,180.0
1.366,180.0,180.0
1.368,180.0,180.0
1.37,180.0,180.0
1.372,180.0,180.0
1.374,180.0,180.0
1.376,180.0,180.0
1.378,180.0,180.0
1.38,180.0,180.0
1.382,180.0,180.0
1.384,180.0,180.0
1.386,180.0,180.0
1.388,180.0,180.0
1.39,180.0,180.0
1.392,180.0,180.0
1.394,180.0,180.0
1.396,180.0,180.0
1.398,180.0,180.0
1.4,180.0,180.0
1.402,180.0,180.0
1.404,180.0,180.0
1.406,180.0,180.0
1.408,180.0,180.0
1.41,180.0,180.0
1.412,180.0,180.0
1.414,180.0,180.0
1.416,180.0,180.0
1.418,180.0,180.0
1.42,180.0,180.0
1.422,180.0,180.0
1.424,180.0,180.0
1.426,180.0,180.0
1.428,180.0,180.0
1.43,180.0,180.0
1.432,180.0,180.0
1.434,180.0,180.0
1.436,180.0,180.0
1.438,180.0,180.0
1.44,180.0,180.0
1.442,180.0,180.0
1.444,180.0,180.0
1.446,180.0,180.0
1.448,180.0,180.0
1.45,180.0,180.0
1.452,180.0,180.0
1.454,180.0,180.0
1.456,180.0,180.0
1.458,180.0,180.0
1.46,180.0,180.0
1.462,180.0,180.0
1.464,180.0,180.0
1.466,180.0,180.0
1.468,180.0,180.0
1.47,180.0,180.0
1.472,180.0,180.0
1.474,180.0,180.0
1.476,180.0,180.0
1.478,180.0,180.0
1.48,180.0,180.0
1.482,180.0,180.0
1.484,180.0,180.0
1.486,180.0,180.0
1.488,180.0,180.0
1.49,180.0,180.0
1.492,180.0,180.0
1.494,180.0,180.0
1.496,180.0,180.0
1.498,180.0,180.0
1.5,180.0,180.0
1.502,180.0,180.0
1.504,180.0,180.0
1.506,180.0,180.0
