,time,X_value,Y_value,Z_value
288,10.583,4.99925,-2.38949,1.77895
289,10.583,4.99925,-2.38949,1.77895
290,10.5831,5.04234,-2.32245,1.73585
291,10.5831,5.08065,-2.20513,1.5898
292,10.5831,5.08305,-2.15964,1.47966
293,10.5847,4.99446,-2.10696,1.19953
294,10.5862,4.83883,-2.12133,0.91701
295,10.5881,4.73827,-2.15724,0.78772
296,10.5905,4.56109,-2.26977,0.56265
297,10.5924,4.40068,-2.35118,0.46688
298,10.5975,4.20674,-2.66483,0.05267
299,10.5978,4.20674,-2.66483,0.05267
300,10.598,4.11815,-2.74144,-0.11253
301,10.6,3.88351,-2.91144,-0.47885
302,10.6018,3.68239,-3.04791,-0.74223
303,10.6052,3.5555,-3.11256,-0.81405
304,10.6062,3.28973,-3.22748,-0.93377
305,10.6082,3.00721,-3.33762,-0.9601
306,10.61,2.88031,-3.37832,-0.93137
307,10.6121,2.62891,-3.41424,-0.88109
308,10.6178,2.20992,-3.50043,-0.73983
309,10.6179,2.09499,-3.53156,-0.65124
310,10.619,1.98246,-3.53395,-0.62491
311,10.6205,1.87232,-3.5148,-0.66321
312,10.6227,1.6712,-3.44536,-0.72068
313,10.625,1.42699,-3.43339,-0.68955
314,10.6266,1.31206,-3.40705,-0.68476
315,10.6285,1.10137,-3.32804,-0.68955
316,10.6301,0.98165,-3.28973,-0.70152
317,10.6325,0.7518,-3.20833,-0.79729
318,10.6378,0.39266,-3.0527,-1.11573
319,10.638,0.39266,-3.0527,-1.11573
320,10.6386,0.32083,-3.02157,-1.1708
321,10.6401,0.26816,-2.98805,-1.23784
322,10.6424,0.2514,-2.95214,-1.34319
323,10.6442,0.24422,-2.8875,-1.50839
324,10.6462,0.32562,-2.81088,-1.6305
325,10.6481,0.39027,-2.61215,-1.90824
326,10.6501,0.48125,-2.52117,-2.11175
327,10.6526,0.52435,-2.5092,-2.20992
328,10.6576,0.84757,-2.59061,-2.49005
329,10.6576,0.84757,-2.59061,-2.49005
330,10.6581,0.99362,-2.61934,-2.5499
331,10.6605,1.3384,-2.68159,-2.68877
332,10.6621,1.6712,-2.72947,-2.82285
333,10.6646,1.8412,-2.86116,-2.8875
334,10.6666,2.22428,-3.01679,-3.0096
335,10.6685,2.44934,-3.06946,-3.10537
336,10.6713,2.94496,-3.15087,-3.28734
337,10.6725,3.42381,-3.26819,-3.32325
338,10.6776,4.25941,-3.68479,-3.21791
339,10.6777,4.53955,-3.68479,-3.17002
340,10.678,4.86517,-3.70873,-3.29213
341,10.6799,5.14051,-3.74704,-3.4717
342,10.6822,5.5212,-3.9721,-3.94337
343,10.6846,5.66964,-4.12055,-4.21632
344,10.6864,5.98808,-4.48208,-4.65208
345,10.6893,6.27061,-4.96094,-5.03037
346,10.6903,6.39511,-5.26022,-5.23388
347,10.6993,6.67284,-5.93062,-5.78936
348,10.6994,7.11578,-7.34324,-7.13254
349,10.6994,7.11578,-7.34324,-7.13254
350,10.6994,7.21156,-7.73351,-7.54436
351,10.7013,7.29536,-8.13814,-7.94899
352,10.7056,7.28578,-8.98571,-8.58587
353,10.7056,7.22832,-9.77582,-8.85642
354,10.7072,7.22113,-10.1637,-8.84445
355,10.7081,7.22353,-10.92747,-8.59784
356,10.7116,7.09902,-11.89715,-7.9442
357,10.7128,7.07269,-12.16052,-7.56112
358,10.7177,8.08068,-13.24992,-5.55711
359,10.718,8.08068,-13.24992,-5.55711
360,10.718,8.51644,-13.633,-4.83404
361,10.72,9.54597,-14.54282,-3.33044
362,10.7221,10.11821,-15.09111,-2.65525
363,10.7239,11.07592,-16.46543,-1.48445
364,10.726,11.3345,-18.32099,-0.68237
365,10.7283,11.20042,-19.41278,-0.51237
366,10.7303,10.68325,-21.78072,-0.64885
367,10.7329,9.76146,-24.15823,-1.34319
368,10.7384,7.78858,-26.98587,-3.21312
369,10.7385,7.78858,-26.98587,-3.21312
370,10.7389,7.13015,-27.55331,-3.95534
371,10.74,6.26582,-27.8526,-5.30811
372,10.742,6.22751,-27.0577,-6.43581
373,10.7439,6.39032,-26.3035,-6.83805
374,10.7478,6.83565,-24.29471,-7.1924
375,10.7496,7.4438,-21.73044,-7.17085
376,10.75,7.69999,-20.35134,-7.08945
377,10.7524,7.87238,-17.5644,-6.92903
378,10.7583,7.25465,-13.62582,-7.32888
379,10.7586,6.87396,-12.40474,-7.32409
380,10.7589,6.44778,-11.20521,-7.111
381,10.7599,5.98569,-10.07271,-6.70636
382,10.7621,4.94897,-8.04476,-5.44698
383,10.7648,3.6393,-6.40947,-3.8069
384,10.7668,2.89468,-5.7726,-2.89947
385,10.769,1.36713,-4.83404,-1.10615
386,10.7699,-0.14605,-4.518,-0.28013
387,10.7736,-0.84518,-4.18998,1.03433
388,10.7776,-3.13171,-4.67841,2.23625
389,10.7776,-3.13171,-4.67841,2.23625
390,10.7782,-3.66324,-5.0615,2.33202
391,10.7804,-4.7239,-6.21554,2.57863
392,10.7831,-5.17403,-6.83087,2.59539
393,10.7865,-6.13653,-8.18124,2.37273
394,10.7865,-7.20437,-8.98332,2.20513
395,10.7883,-7.74787,-10.78381,2.07344
396,10.7899,-8.7391,-12.64417,1.68318
397,10.7922,-9.15331,-13.48934,1.51558
398,10.7974,-9.90272,-15.79264,2.18837
399,10.7977,-9.90272,-15.79264,2.18837
400,10.7981,-9.83089,-16.07995,2.65046
401,10.8003,-9.46217,-16.475,3.50282
402,10.8023,-8.77023,-16.63063,4.04632
403,10.8044,-8.3632,-16.64979,4.09421
404,10.8066,-7.60901,-16.6881,3.63211
405,10.809,-7.29057,-16.73598,3.11016
406,10.8106,-6.76622,-16.83654,1.57783
407,10.8124,-6.19159,-16.79823,-0.10535
408,10.8182,-4.91784,-16.24755,-2.04711
409,10.8196,-4.91784,-16.24755,-2.04711
410,10.8196,-4.54673,-16.0177,-2.32484
411,10.8208,-4.16364,-15.79024,-2.57624
412,10.8221,-3.45015,-15.36646,-2.93778
413,10.824,-3.16044,-15.18928,-3.00242
414,10.8265,-2.72229,-14.96661,-2.88031
415,10.8339,-2.44695,-15.07435,-2.62173
416,10.8339,-2.37751,-15.27069,-2.49723
417,10.8339,-2.29132,-15.8908,-2.09499
418,10.8382,-2.03992,-17.41835,-0.12211
419,10.8382,-2.03992,-17.41835,-0.12211
420,10.8382,-2.0088,-17.77031,0.48843
421,10.8405,-1.87711,-18.03128,1.60177
422,10.8425,-1.76937,-18.39282,1.98007
423,10.8441,-1.35277,-18.4,2.29372
424,10.846,-1.05109,-18.26113,2.2578
425,10.8481,-0.26098,-17.62186,1.93218
426,10.8499,0.56984,-16.6426,1.49403
427,10.8519,0.94574,-16.07755,1.36713
428,10.8578,2.0495,-13.85806,1.18756
429,10.8586,2.0495,-13.85806,1.18756
430,10.8586,2.16203,-13.40554,1.15165
431,10.8605,2.25541,-12.61543,1.10376
432,10.8619,2.25062,-12.26108,1.05827
433,10.8642,2.27217,-11.60744,1.01996
434,10.8661,2.25301,-11.01606,0.89306
435,10.8679,2.23146,-10.76705,0.82602
436,10.8702,2.22428,-10.35045,0.70631
437,10.8722,2.23865,-10.05117,0.59617
438,10.8769,2.29372,-9.8285,0.40703
439,10.8772,2.29372,-9.8285,0.40703
440,10.8784,2.36075,-9.75188,0.31844
441,10.8802,2.43737,-9.69681,0.06465
442,10.8821,2.3416,-9.80455,-0.18196
443,10.8838,2.27217,-9.88596,-0.34717
444,10.8862,2.2147,-9.96258,-0.69195
445,10.8879,2.06386,-10.05117,-0.94334
446,10.89,1.99443,-10.10863,-1.03672
447,10.8925,1.88669,-10.19482,-1.1277
448,10.8976,1.65923,-10.24271,-0.89785
449,10.8976,1.65923,-10.24271,-0.89785
450,10.8984,1.62332,-10.23553,-0.78053
451,10.9008,1.58262,-10.24271,-0.65124
452,10.9022,1.46051,-10.26426,-0.38069
453,10.9067,1.52036,-10.19482,-0.17957
454,10.9068,1.59219,-10.14215,-0.10535
455,10.9094,1.77655,-10.04398,0.01197
456,10.9109,2.02556,-9.90033,0.11971
457,10.9128,2.14766,-9.80455,0.18675
458,10.9171,2.55709,-9.49091,0.3352
