"user_id","experiment_group","UserType","is_verified","user_revenue","exposed_items"
1605320,"30_discount",Company,0,64.0,2
1606471,"60_discount",Company,0,,1
1606596,"30_discount",Private,0,54.769230769230774,2
1608438,"60_discount",Company,0,31.923076923076923,1
1609168,"30_discount",Company,0,104.76923076923077,7
1609401,no_discount,Company,0,,1
1611377,no_discount,Private,0,,1
1611515,"60_discount",Private,0,56.769230769230774,5
1613581,"30_discount",Private,0,118.53846153846153,4
1613920,"60_discount",Private,0,32.0,3
1614412,"60_discount",Company,0,21.615384615384613,1
1614437,no_discount,Company,0,,1
1615583,"30_discount",Private,0,57.07692307692308,2
1616100,"30_discount",Private,0,,1
1617540,no_discount,Private,0,,1
1620859,no_discount,Private,0,85.84615384615384,4
1622440,no_discount,Company,0,64.0,3
1623977,no_discount,Private,0,125.23076923076923,4
1626147,no_discount,Company,0,64.0,2
1627203,no_discount,Private,0,,1
1628033,"30_discount",Private,0,40.07692307692308,1
1629827,no_discount,Shop,0,75.53846153846155,2
1631063,"30_discount",Private,0,,1
1631707,"30_discount",Company,1,40.07692307692308,1
1632468,"60_discount",Company,0,120.23076923076924,3
1634486,"60_discount",Private,0,37.769230769230774,1
1635523,no_discount,Company,0,,1
1635681,"30_discount",Private,0,46.69230769230769,3
1635959,"30_discount",Private,1,30.692307692307693,1
1637386,"60_discount",Company,0,,2
1637931,"60_discount",Private,0,34.30769230769231,1
1638424,no_discount,Private,0,32.0,3
1638492,"30_discount",Private,0,,3
1639567,"30_discount",Private,0,48.15384615384615,1
1639724,no_discount,Private,0,,1
1639817,"30_discount",Private,0,26.923076923076923,1
1640486,no_discount,Company,0,,1
1641606,"30_discount",Company,0,34.30769230769231,1
1642542,"30_discount",Company,0,,2
1642749,no_discount,Company,0,,1
1642971,"30_discount",Company,0,,1
1644303,"60_discount",Private,0,,1
1645318,"60_discount",Company,0,85.46153846153847,3
1647453,no_discount,Company,0,,3
1648432,"30_discount",Private,0,35.30769230769231,2
1649401,"30_discount",Private,0,,1
1650387,"30_discount",Private,0,,2
1650700,no_discount,Private,0,,1
1651526,"60_discount",Company,0,51.61538461538461,1
1652634,no_discount,Company,0,67.3076923076923,2
1652905,"30_discount",Private,1,55.07692307692308,3
1652973,no_discount,Private,0,39.92307692307692,1
